id,sample,metric,es,x,y,source,note,n1,n2,t1,t2,direction,x_name,y_name
19,1,r,1,cq,cq,text,NA,NA,NA,NA,NA,NA,Contact quantity,Contact quantity
19,1,r,-0.33,cq,pd,text,NA,NA,NA,NA,NA,NA,Contact quantity,Personal discrimination
19,1,r,-0.33,pd,cq,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Contact quantity
19,1,r,1,pd,pd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
45,1,r,1,pc,pc,text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
45,1,r,-0.16,pc,pd,text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
45,1,r,-0.16,pd,pc,text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
45,1,r,1,pd,pd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
45,2,r,1,pc,pc,text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
45,2,r,-0.23,pc,pd,text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
45,2,r,-0.23,pd,pc,text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
45,2,r,1,pd,pd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
45,3,r,1,pc,pc,text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
45,3,r,0.15,pc,pd,text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
45,3,r,0.15,pd,pc,text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Personal discrimination,Contact quality / Positive contact
45,3,r,1,pd,pd,text,NA,NA,NA,NA,NA,NA,Personal discrimination,Personal discrimination
46,1,r,1,gd,gd,author,NA,NA,NA,NA,NA,NA,Group discrimination,Group discrimination
46,1,r,-0.0756,gd,ic,author,NA,NA,NA,NA,NA,NA,Group discrimination,Intergroup contact (other)
46,1,r,-0.0756,ic,gd,author,NA,NA,NA,NA,NA,NA,Intergroup contact (other),Group discrimination
46,1,r,1,ic,ic,author,NA,NA,NA,NA,NA,NA,Intergroup contact (other),Intergroup contact (other)
91,1,r,1,pc,pc,text,NA,NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,unpleasant/pleasant - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,competitive/cooperative - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,superficial/intimate - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,not equal/equal - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,involuntary/voluntary - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,negative/positive - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,unpleasant/pleasant - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,competitive/cooperative - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,superficial/intimate - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,not equal/equal - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,involuntary/voluntary - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,1,pc,pc,text,negative/positive - perceived discrimination (b),NA,NA,NA,NA,NA,Contact quality / Positive contact,Contact quality / Positive contact
91,1,r,0.032,pc,pd,text,unpleasant/pleasant - perceived discrimination (a),NA,NA,NA,NA,NA,Contact quality / Positive contact,Personal discrimination
